Player,Height,Weight,Age,School,BDate
TiagoÿSplitter,83,240,28,Brazil,1/1/1985
NandoÿDe Colo,77,200,26,France,6/23/1987
BorisÿDiaw,80,235,31,None,4/16/1982
DarrellÿArthur,81,235,25,Kansas,3/25/1988
DamionÿJames,79,220,25,Texas,10/7/1987
JoffreyÿLauvergne,83,235,21,None,9/30/1991
ErickÿGreen,75,185,22,Virginia Tech,5/9/1991
JordanÿHamilton,79,220,22,Texas,10/6/1990
TyÿLawson,71,195,25,North Carolina,11/3/1987
RandyÿFoye,76,213,29,Villanova,9/24/1983
J.J.ÿHickson,81,242,25,NC State,9/4/1988
DaniloÿGallinari,82,225,25,None,8/8/1988
NateÿRobinson,69,180,29,Washington,5/31/1984
AnthonyÿRandolph,83,225,24,LSU,7/15/1989
WilsonÿChandler,80,225,26,DePaul,5/10/1987
AndreÿMiller,74,200,37,Utah,3/19/1976
TimofeyÿMozgov,85,250,27,None,7/16/1986
QuincyÿMiller,81,210,20,Baylor,11/18/1992
JaValeÿMcGee,84,252,25,Nevada,1/19/1988
KennethÿFaried,80,228,23,Morehead State,11/19/1989
EvanÿFournier,79,206,20,Poiters Basket 86 (France),10/29/1992
GorguiÿDieng,83,245,23,Louisville,1/18/1990
RonnyÿTuriaf,82,245,30,Gonzaga,1/13/1983
CoreyÿBrewer,81,188,27,Florida,3/5/1986
BojanÿDubljevic,81,240,21,None,10/24/1991
LorenzoÿBrown,77,189,23,NC State,8/26/1990
KevinÿMartin,79,185,30,Western Carolina,2/1/1983
ShabazzÿMuhammad,78,225,20,UCLA,11/13/1992
AlexeyÿShved,78,190,24,CSKA Moscow,12/16/1988
DerrickÿWilliams,80,241,22,Arizona,5/25/1991
RickyÿRubio,76,180,22,Spain National,10/21/1990
ChaseÿBudinger,79,218,25,Arizona,5/22/1988
J.J.ÿBarea,72,175,29,Northeastern,6/26/1984
NikolaÿPekovic,83,290,27,None,1/3/1986
MickaelÿGelabale,79,215,30,None,5/22/1983
ChrisÿJohnson,83,210,28,LSU,7/15/1985
DanteÿCunningham,80,230,26,Villanova,4/22/1987
KevinÿLove,82,250,25,UCLA,9/7/1988
RussellÿWestbrook,75,187,24,UCLA,11/12/1988
ThaboÿSefolosha,79,215,29,None,5/2/1984
PerryÿJones III,83,235,21,Baylor,9/24/1991
NickÿCollison,82,255,32,Kansas,10/26/1980
KendrickÿPerkins,82,280,28,None,11/10/1984
DerekÿFisher,73,210,39,Ark-Little Rock,8/9/1974
RyanÿGomes,79,245,31,Providence,9/1/1982
SergeÿIbaka,82,235,24,None,9/18/1989
JeremyÿLamb,77,180,21,Connecticut,5/30/1992
StevenÿAdams,84,250,20,Pittsburgh,7/28/1993
ReggieÿJackson,75,208,23,Boston College,4/16/1990
AndreÿRoberson,79,206,21,Colorado,12/4/1991
DanielÿOrton,82,255,23,Kentucky,8/6/1990
HasheemÿThabeet,87,263,26,Connecticut,2/16/1987
KevinÿDurant,81,230,24,Texas,9/29/1988
GrantÿJerrett,82,232,20,Arizona,7/8/1993
RichardÿHowell,79,250,22,NC State,9/26/1990
E.J.ÿSingler,78,215,23,Oregon,6/6/1990
TerrelÿHarris,76,190,26,Oklahoma State,8/10/1987
DamianÿLillard,75,195,23,Weber State,7/15/1990
EarlÿWatson,73,195,34,UCLA,6/12/1979
JaredÿJeffries,83,240,31,Indiana,11/25/1981
WesleyÿMatthews,77,220,26,Marquette,10/14/1986
DeeÿBost,74,170,23,Mississippi State,10/12/1989
C.J.ÿMcCollum,75,197,22,Lehigh,9/19/1991
DorellÿWright,81,205,27,None,12/2/1985
NolanÿSmith,74,185,25,Duke,7/25/1988
WillÿBarton,78,174,22,Memphis,1/6/1991
ElliotÿWilliams,77,183,24,Memphis,6/20/1989
MeyersÿLeonard,85,250,21,Illinois,2/27/1992
LaMarcusÿAldridge,83,240,28,Texas,7/19/1985
VictorÿClaver,81,235,25,Pamesa Valencia,8/30/1988
JoelÿFreeland,83,225,26,Farnborough College of Technology,2/7/1987
AllenÿCrabbe,78,200,21,California,4/4/1992
MoÿWilliams,73,195,30,Alabama,12/19/1982
ThomasÿRobinson,82,237,22,Kansas,3/18/1991
RobinÿLopez,84,255,25,Stanford,4/1/1988
NicolasÿBatum,80,200,24,None,12/14/1988
AndrisÿBiedrins,84,240,27,None,4/2/1986
RudyÿGobert,85,235,21,None,6/26/1992
EnesÿKanter,83,267,21,Kentucky,5/20/1992
RichardÿJefferson,79,230,33,Arizona,6/21/1980
BrandonÿRush,78,210,28,Kansas,7/7/1985
TreyÿBurke,73,185,20,Michigan,11/12/1992
IanÿClark,75,175,22,Belmont,3/7/1991
JohnÿLucas III,71,157,30,Oklahoma State,11/21/1982
MarvinÿWilliams,81,240,27,North Carolina,6/19/1986
JamaalÿTinsley,75,185,35,Iowa State,2/28/1978
AlecÿBurks,78,195,22,Colorado,7/20/1991
DerrickÿFavors,82,246,22,Georgia Tech,7/15/1991
GordonÿHayward,80,207,23,Butler,3/23/1990
JerelÿMcNeal,75,196,26,Marquette,7/1/1987
JeremyÿEvans,81,196,25,Western Kentucky,10/24/1987
ToneyÿDouglas,74,185,27,Florida State,3/16/1986
SethÿCurry,74,185,23,Duke,8/23/1990
MarreeseÿSpeights,82,245,26,Florida,8/4/1987
JermaineÿO`Neal,83,255,34,None,10/13/1978
NemanjaÿNedovic,75,191,22,None,6/16/1991
AndreÿIguodala,78,207,29,Arizona,1/28/1984
DavidÿLee,81,240,30,Florida,4/29/1983
KlayÿThompson,79,205,23,Washington State,2/8/1990
AndrewÿBogut,84,260,28,Utah,11/28/1984
KentÿBazemore,77,201,24,Old Dominion,7/1/1989
DraymondÿGreen,79,230,23,Michigan State,3/14/1990
StephenÿCurry,75,185,25,Davidson,3/14/1988
FestusÿEzeli,83,255,23,Vanderbilt,10/21/1989
HarrisonÿBarnes,80,210,21,North Carolina,5/30/1992
ByronÿMullens,84,275,24,Ohio State,2/14/1989
BrandonÿDavies,81,235,22,BYU,7/25/1991
DarrenÿCollison,72,160,26,UCLA,8/23/1987
ChrisÿPaul,72,175,28,Wake Forest,5/6/1985
J.J.ÿRedick,76,190,29,Duke,6/24/1984
MaalikÿWayns,73,195,22,Villanova,5/2/1991
DeAndreÿJordan,83,265,25,Texas A&M,7/21/1988
